ID,line,fit,viatech,viano,pins,layno,sq,dens,dbl,netno,comp,category,ver,complexity,scope,type,duration,level
121797,vns,mlb,cor_stk,10247,2624,8,42.83,0.229,dbl,348,765,RG,B1,High,MOD-MAJOR,FF,37,5
50899,gq,db,cor-astk,982,303,6,4.99,0.230,dbl,39,86,RG,D0,Low,MOD-MINOR,FF,24,5
295635,bis,sns,tht,22,28,2,0.47,0.233,dbl,7,7,RG,R2,Medium,MOD-MINOR,FF,58,5
229821,bis,sns,tht,12,20,2,0.36,0.254,sgl,4,6,FP,B1,Low,MOD-MINOR,FF,44,5
200182,bis,sns,tht,16,20,2,0.36,0.254,sgl,4,6,FP,B0,Low,NEW BRD,FF,50,5
121798,rtf,mlb,cor-astk,64483,5358,12,103.31,0.270,dbl,741,1227,RG,B1,High,NEW BRD,FF,78,5
229819,bis,sns,cor-astk,1368,278,6,5.46,0.275,dbl,48,109,RG,B1,High,MOD-MINOR,FF,36,5
263853,sqa,db,cor_stk,3891,776,10,15.99,0.288,dbl,166,253,RG,B0,Medium,NEW BRD,FF,112,3
296622,bis,sns,cor-astk,1366,279,6,6.14,0.308,dbl,48,110,RG,R2,High,MOD-MAJOR,FF,63,5
266845,bis,mlb,cor-astk,11407,2744,6,62.13,0.317,dbl,552,970,RG,R2,High,MOD-MINOR,FF,78,5
48501,sper,mlb,cor_stk,7037,1913,6,44.30,0.324,dbl,255,524,RG,B1,Medium,MOD-MINOR,FF,18,5
57662,sper,mlb,cor_stk,7253,1901,6,44.13,0.325,dbl,248,523,RG,R2,Medium,MOD-MAJOR,FF,66,5
234421,bis,mlb,cor-astk,10930,2642,6,62.15,0.329,dbl,542,920,RG,B1,High,MOD-MINOR,FF,52,5
241986,bis,mlb,cor-astk,10936,2636,6,62.15,0.33,dbl,541,917,RG,B0,High,MOD-MINOR,FF,15,5
53960,nq,mlb,cor_stk,10589,2472,6,60.01,0.340,dbl,368,727,RG,D0,Low,MOD-MINOR,FF,31,5
348488,are,mlb,cor-astk,7175,1814,6,44.13,0.341,dbl,253,480,RG,B1,High,MOD-MINOR,FF,23,5
307911,are,mlb,cor-astk,7175,1814,6,44.13,0.341,dbl,253,480,RG,B0,High,MOD-MINOR,FF,112,5
146131,sper,mlb,cor_stk,7538,1724,6,44.13,0.358,dbl,234,417,RG,D0,Low,MOD-MINOR,FF,6,5
121788,sper,mlb,cor_stk,7538,1724,6,44.13,0.358,dbl,234,417,RG,E0,Low,MOD-MINOR,FF,13,5
93748,sper,mlb,cor_stk,7515,1714,6,44.13,0.360,dbl,234,413,RG,E0,Medium,MOD-MAJOR,FF,36,5
261603,ced,db,cor-astk,796,130,4,3.36,0.362,dbl,22,30,RG,B0,Medium,NEW BRD,FF,71,5
303774,kik,mlb,cor-astk,17280,2264,6,59.65,0.369,dbl,335,597,RG,B0,Medium,NEW BRD,FF,35,3
182856,tgr,db,cor_stk,886,158,4,4.17,0.370,sgl,29,50,RG,R2,Medium,MOD-MINOR,FF,37,5
234415,tgr,db,cor_stk,875,158,4,4.22,0.374,sgl,28,48,RG,R2,Low,MOD-MINOR,PLT,17,5
242530,hvy,mlb,cor-astk,31711,6538,10,175.04,0.375,dbl,1140,1856,RG,M0,High,NEW BRD,FF,113,5
308388,ced,sns,tht,78,79,4,2.21,0.392,dbl,12,34,RG,B0,Low,MOD-MAJOR,FF,25,5
283698,jbr,mlb,cor-astk,2594,669,6,19.15,0.401,dbl,110,260,RG,M00,High,NEW BRD,FF,60,4
242018,brl,mlb,tht,1800,2054,6,59.65,0.407,dbl,327,594,RG,E0,Medium,MOD-MAJOR,FF,113,4
136028,krl,mlb,cor_stk,3742,1301,6,37.93,0.408,dbl,263,438,RG,B0,Medium,NEW BRD,FF,50,5
261379,brl,mlb,tht,1801,2042,6,59.65,0.409,dbl,327,588,RG,D0,Medium,MOD-MINOR,FF,6,3
245069,brl,mlb,tht,1785,2024,6,59.65,0.413,dbl,324,580,RG,D1,Medium,MOD-MINOR,FF,4,4
168764,brl,mlb,tht,1797,1978,6,59.65,0.422,dbl,314,558,RG,E0,Medium,MOD-MINOR,FF,8,4
112724,mst,mlb,cor_stk,13637,4587,8,138.51,0.423,dbl,744,1323,RG,D0,High,MOD-MINOR,FF,21,5
123580,brl,mlb,tht,1707,1968,6,59.65,0.424,dbl,313,540,RG,B0,High,NEW BRD,FF,35,4
50833,ele,mlb,tht,1824,2820,6,85.77,0.426,dbl,386,738,RG,D0,Low,MOD-MINOR,FF,4,4
133965,brl,mlb,tht,1804,1960,6,59.65,0.426,dbl,315,549,RG,B1,Medium,MOD-MAJOR,FF,14,4
134185,brl,mlb,tht,1810,1956,6,59.65,0.427,dbl,313,549,RG,R2,Low,MOD-MINOR,FF,35,4
168134,tgr,db,tht,107,138,4,4.21,0.427,sgl,29,40,RG,B1,Medium,MOD-MINOR,FF,36,5
138027,ctr,db,tht_astk,107,138,4,4.21,0.427,sgl,29,40,RG,B0,Medium,NEW BRD,FF,51,5
46587,ele,mlb,tht,1824,2814,6,85.77,0.427,dbl,386,735,RG,D0,Low,MOD-MINOR,FF,53,5
295663,ced,db,tht,63,54,2,1.69,0.439,dbl,8,24,RG,M00,Medium,NEW BRD,FF,57,5
46389,vns,db,tht,585,505,4,16.06,0.445,dbl,66,180,RG,M00,Medium,NEW BRD,FF,122,4
234406,ced,sns,tht,109,79,2,2.55,0.452,dbl,12,34,RG,B0,Low,MOD-MAJOR,FF,128,5
250787,hvy,bb,tht,16,26,2,0.85,0.456,dbl,7,14,RG,M0,Medium,NEW BRD,FF,69,3
72843,bsev,db,tht,161,153,2,5.09,0.466,dbl,17,47,RG,B0,Low,MOD-MINOR,FF,37,5
254339,tgr,db,cor_stk,859,126,4,4.22,0.469,sgl,209,36,RG,E0,Low,MOD-MINOR,FF,35,5
307980,ced,sns,tht,125,89,4,2.99,0.471,dbl,12,40,RG,M00,Medium,NEW BRD,FF,59,5
263851,sqa,mlb,cor_stk,35206,9139,10,333.77,0.511,dbl,1508,2296,RG,B0,High,NEW BRD,FF,75,4
46395,lcy,mlb,tht,2636,3298,6,121.08,0.514,dbl,434,1005,RG,M00,Medium,NEW BRD,FF,107,5
46586,ele,db,tht,195,137,2,5.09,0.520,dbl,17,47,RG,D0,Low,MOD-MINOR,FF,13,5
234409,ced,db,tht,195,137,2,5.09,0.520,dbl,17,47,RG,B0,Medium,NEW BRD,FF,119,5
234405,ced,sns,tht,137,89,2,3.32,0.522,dbl,12,40,RG,B0,Low,MOD-MAJOR,FF,122,5
50831,gq,mlb,cor-astk,7697,2400,6,89.81,0.524,dbl,387,716,RG,D0,Low,MOD-MINOR,FF,48,5
123576,vns,db,tht,583,423,4,16.13,0.534,dbl,51,143,RG,B1,High,MOD-MINOR,FF,97,5
332057,krl,mlb,cor_stk,4372,1437,6,54.96,0.535,dbl,269,525,RG,D0,Low,MOD-MINOR,FF,87,5
255570,src,mlb,cor_stk,30455,3783,6,145.77,0.539,dbl,604,1290,RG,E0,Low,MOD-MINOR,FF,12,5
264628,src,mlb,cor_stk,30563,3777,6,145.77,0.540,dbl,601,1293,RG,D0,Low,MOD-MINOR,FF,24,5
241991,src,mlb,cor_stk,30305,3769,6,145.77,0.541,dbl,604,1283,RG,E0,Medium,MOD-MINOR,FF,26,5
